iter	Passed	Remaining
403	9555	2270
404	9583	2248
405	9608	2224
406	9629	2200
407	9648	2175
408	9672	2152
409	9697	2128
410	9720	2105
411	9751	2082
412	9780	2060
413	9807	2037
414	9826	2012
415	9854	1989
416	9883	1967
417	9911	1944
418	9936	1920
419	9961	1897
420	9981	1873
421	10004	1849
422	10032	1826
423	10058	1802
424	10077	1778
425	10099	1754
426	10123	1730
427	10147	1707
428	10178	1684
429	10201	1660
430	10224	1636
431	10244	1612
432	10271	1589
433	10298	1566
434	10325	1542
435	10346	1518
436	10371	1495
437	10395	1471
438	10415	1447
439	10437	1423
440	10459	1399
441	10476	1374
442	10497	1350
443	10521	1327
444	10548	1303
445	10583	1281
446	10609	1257
447	10633	1234
448	10655	1210
449	10678	1186
450	10701	1162
451	10729	1139
452	10762	1116
453	10785	1092
454	10805	1068
455	10823	1044
456	10844	1020
457	10865	996
458	10885	972
459	10904	948
460	10926	924
461	10948	900
462	10969	876
463	10988	852
464	11010	828
465	11040	805
466	11070	782
467	11095	758
468	11116	734
469	11137	710
470	11155	686
471	11176	662
472	11199	639
473	11216	615
474	11240	591
475	11265	567
476	11296	544
477	11342	522
478	11371	498
479	11401	475
480	11432	451
481	11455	427
482	11476	403
483	11500	380
484	11532	356
485	11555	332
486	11577	309
487	11638	286
488	11673	262
489	11708	238
490	11739	215
491	11760	191
492	11782	167
493	11807	143
494	11831	119
495	11853	95
496	11875	71
497	11900	47
498	11926	23
499	11955	0
