iter	MultiQuantile:alpha=1.49e-12,8.39e-09,4.02e-07,4.77e-06,2.88e-05,0.000117,0.000364,0.000938,0.0021,0.00422,0.00778,0.0133,0.0215,0.033,0.0484,0.0684,0.0935,0.124,0.16,0.201,0.247,0.298,0.353,0.411,0.47,0.53,0.589,0.647,0.702,0.753,0.799,0.84,0.876,0.907,0.932,0.952,0.967,0.978,0.987,0.992,0.996,0.998,0.999,1,1,1,1,1,1,1
321	3172.121333
322	3170.037492
323	3168.497955
324	3167.762537
325	3166.091406
326	3163.286072
327	3161.340759
328	3160.195126
329	3157.308832
330	3156.688356
331	3152.997874
332	3151.589184
333	3148.676714
334	3147.132705
335	3145.155115
336	3144.008238
337	3143.117226
338	3139.52244
339	3137.200393
340	3136.516908
341	3133.600449
342	3131.282658
343	3129.908273
344	3129.631343
345	3129.03989
346	3127.40711
347	3125.455915
348	3123.440507
349	3121.318035
350	3120.032317
351	3117.754991
352	3116.88134
353	3114.885092
354	3113.60949
355	3112.336025
356	3111.821966
357	3110.12107
358	3108.663455
359	3107.324819
360	3105.688443
361	3102.743976
362	3101.171441
363	3099.971607
364	3098.103179
365	3095.474167
366	3093.806605
367	3093.489331
368	3090.9846
369	3090.054275
370	3088.287966
371	3087.020775
372	3085.521328
373	3084.240356
374	3083.344903
375	3082.098514
376	3080.121579
377	3079.645239
378	3078.519828
379	3078.332376
380	3078.089814
381	3077.283617
382	3076.68975
383	3074.309393
384	3072.224822
385	3070.88092
386	3070.151643
387	3068.426166
388	3068.12602
389	3066.325576
390	3066.216002
391	3065.813647
392	3064.790927
393	3063.462847
394	3062.020904
395	3060.943172
396	3060.107996
397	3059.837859
398	3058.376006
399	3057.165572
400	3056.183275
401	3055.359105
402	3054.821247
403	3053.725292
404	3053.315553
405	3052.651389
406	3050.59791
407	3048.942845
408	3047.972981
409	3045.377173
410	3044.658041
411	3044.241318
412	3043.508691
413	3042.924711
414	3042.186917
415	3041.526837
416	3041.354976
417	3040.681852
418	3040.119705
419	3039.200405
420	3038.365858
421	3037.839305
422	3037.244215
423	3036.113879
424	3035.2672
425	3033.622789
426	3032.816424
427	3032.364516
428	3031.388104
429	3030.303728
430	3028.439505
431	3027.4616
432	3025.203915
433	3025.074955
434	3024.958546
435	3024.038614
436	3023.790434
437	3022.679957
438	3022.379944
439	3022.293053
440	3020.294867
441	3020.15498
442	3018.681388
443	3018.024362
444	3017.088646
445	3016.010415
446	3015.194886
447	3014.618132
448	3014.50451
449	3013.638793
450	3012.378931
451	3012.277437
452	3012.209604
453	3011.454153
454	3011.406626
455	3011.312994
456	3009.800491
457	3008.285632
458	3007.114607
459	3006.976987
460	3006.717077
461	3006.021379
462	3005.30791
463	3004.876314
464	3004.79412
465	3003.612031
466	3002.863617
467	3002.799928
468	3002.732702
469	3002.485633
470	3002.390633
471	3001.368274
472	3001.018421
473	3000.768295
474	2999.92511
475	2999.893291
476	2999.142963
477	2998.334328
478	2997.455172
479	2996.178393
480	2996.08386
481	2995.590767
482	2995.414219
483	2995.02674
484	2994.604842
485	2993.878738
486	2992.187506
487	2992.112143
488	2991.15512
489	2990.681404
490	2988.98829
491	2988.870487
492	2988.499066
493	2987.894422
494	2987.305571
495	2987.260123
496	2986.494319
497	2985.29349
498	2982.189934
499	2979.968857
