iter	Passed	Remaining
403	8919	13158
404	8940	13134
405	8958	13107
406	8977	13080
407	8997	13054
408	9014	13026
409	9035	13002
410	9056	12978
411	9077	12955
412	9103	12939
413	9127	12920
414	9153	12903
415	9177	12883
416	9197	12858
417	9215	12831
418	9234	12804
419	9252	12777
420	9270	12750
421	9288	12722
422	9313	12704
423	9332	12678
424	9352	12653
425	9373	12629
426	9392	12604
427	9417	12585
428	9446	12573
429	9474	12559
430	9496	12537
431	9529	12529
432	9564	12524
433	9603	12524
434	9622	12498
435	9646	12478
436	9671	12459
437	9705	12452
438	9727	12430
439	9748	12407
440	9769	12383
441	9789	12358
442	9808	12332
443	9827	12306
444	9846	12280
445	9870	12260
446	9896	12242
447	9916	12218
448	9938	12196
449	9961	12174
450	9997	12169
451	10034	12165
452	10057	12144
453	10080	12123
454	10100	12098
455	10125	12079
456	10144	12053
457	10161	12025
458	10181	12000
459	10199	11972
460	10216	11945
461	10236	11920
462	10254	11893
463	10277	11871
464	10301	11852
465	10324	11831
466	10353	11816
467	10377	11796
468	10405	11781
469	10441	11774
470	10467	11756
471	10492	11737
472	10513	11713
473	10539	11695
474	10560	11671
475	10581	11649
476	10605	11627
477	10639	11618
478	10663	11598
479	10685	11575
480	10707	11553
481	10729	11531
482	10757	11515
483	10786	11499
484	10808	11476
485	10830	11454
486	10851	11430
487	10871	11406
488	10892	11382
489	10917	11363
490	10939	11340
491	10960	11316
492	10980	11292
493	11005	11273
494	11028	11251
495	11050	11228
496	11069	11203
497	11087	11176
498	11112	11157
499	11145	11145
500	11177	11133
501	11204	11114
502	11235	11101
503	11258	11079
504	11276	11052
505	11296	11028
506	11315	11003
507	11334	10977
508	11352	10951
509	11374	10928
510	11401	10910
511	11425	10889
512	11452	10872
513	11476	10851
514	11497	10827
515	11517	10803
516	11540	10781
517	11565	10761
518	11587	10739
519	11607	10714
520	11634	10696
521	11655	10673
522	11680	10653
523	11698	10626
524	11715	10599
525	11732	10572
526	11751	10547
527	11776	10527
528	11804	10510
529	11830	10490
530	11854	10470
531	11877	10448
532	11898	10425
533	11919	10401
534	11941	10379
535	11959	10353
536	11980	10329
537	12002	10307
538	12027	10287
539	12048	10263
540	12068	10238
541	12090	10216
542	12111	10193
543	12131	10169
544	12149	10143
545	12168	10118
546	12196	10100
547	12217	10077
548	12239	10054
549	12261	10031
550	12285	10010
551	12305	9987
552	12330	9967
553	12359	9950
554	12388	9933
555	12413	9912
556	12437	9891
557	12461	9870
558	12482	9847
559	12509	9829
560	12533	9807
561	12558	9787
562	12586	9769
563	12610	9748
564	12642	9733
565	12669	9715
566	12690	9691
567	12716	9671
568	12740	9650
569	12764	9629
570	12796	9614
571	12823	9595
572	12847	9574
573	12872	9553
574	12893	9530
575	12911	9504
576	12930	9479
577	12949	9454
578	12970	9430
579	13004	9417
580	13034	9400
581	13068	9386
582	13097	9367
583	13119	9345
584	13145	9325
585	13179	9310
586	13204	9290
587	13229	9269
588	13251	9246
589	13273	9224
590	13300	9204
591	13339	9193
592	13363	9172
593	13383	9147
594	13402	9122
595	13420	9097
596	13443	9075
597	13471	9056
598	13498	9036
599	13521	9014
600	13544	8991
601	13570	8971
602	13598	8952
603	13621	8930
604	13643	8907
605	13665	8884
606	13687	8862
607	13708	8838
608	13731	8816
609	13756	8795
610	13781	8774
611	13819	8761
612	13863	8752
613	13894	8735
614	13924	8717
615	13945	8693
616	13965	8669
617	13986	8645
618	14004	8620
619	14035	8602
620	14063	8583
621	14092	8564
622	14114	8541
623	14137	8518
624	14160	8496
625	14186	8475
626	14207	8451
627	14231	8429
628	14262	8412
629	14290	8392
630	14318	8373
631	14342	8351
632	14366	8329
633	14394	8309
634	14417	8287
635	14453	8272
636	14484	8254
637	14506	8231
638	14536	8212
639	14558	8189
640	14581	8166
641	14605	8144
642	14627	8121
643	14647	8096
644	14666	8072
645	14685	8047
646	14705	8023
647	14726	7999
648	14748	7976
649	14775	7956
650	14802	7935
651	14832	7916
652	14860	7896
653	14881	7872
654	14900	7848
655	14919	7823
656	14938	7799
657	14961	7776
658	14989	7756
659	15011	7733
660	15039	7713
661	15073	7696
662	15116	7683
663	15146	7664
664	15172	7643
665	15193	7619
666	15219	7598
667	15249	7578
668	15272	7556
669	15296	7533
670	15318	7510
671	15339	7487
672	15360	7463
673	15376	7437
674	15396	7413
675	15414	7387
676	15437	7365
677	15454	7339
678	15471	7314
679	15494	7291
680	15522	7271
681	15552	7251
682	15578	7230
683	15598	7206
684	15618	7182
685	15634	7156
686	15658	7134
687	15678	7110
688	15695	7084
689	15709	7058
690	15725	7032
691	15749	7010
692	15774	6987
693	15796	6965
694	15823	6944
695	15846	6921
696	15880	6903
697	15916	6886
698	15942	6864
699	15962	6841
700	15990	6820
701	16012	6797
702	16035	6774
703	16054	6750
704	16079	6728
705	16093	6701
706	16110	6676
707	16125	6650
708	16146	6627
709	16169	6604
710	16183	6578
711	16201	6553
712	16225	6531
713	16246	6507
714	16273	6486
715	16293	6462
716	16305	6435
717	16325	6411
718	16345	6388
719	16364	6364
720	16387	6341
721	16409	6318
722	16429	6294
723	16451	6271
724	16471	6247
725	16489	6223
726	16515	6201
727	16548	6183
728	16574	6161
729	16599	6139
730	16625	6118
731	16647	6095
732	16668	6071
733	16688	6047
734	16708	6024
735	16728	6000
736	16751	5977
737	16771	5954
738	16797	5932
739	16822	5910
740	16847	5888
741	16866	5864
742	16885	5840
743	16904	5816
744	16924	5793
745	16946	5769
746	16966	5746
747	16985	5722
748	17003	5698
749	17022	5674
750	17047	5652
751	17072	5630
752	17091	5606
753	17113	5583
754	17134	5560
755	17151	5535
756	17173	5512
757	17194	5489
758	17215	5466
759	17236	5443
760	17258	5420
761	17278	5396
762	17298	5373
763	17317	5349
764	17343	5327
765	17364	5304
766	17387	5282
767	17408	5258
768	17432	5236
769	17455	5214
770	17478	5191
771	17506	5170
772	17528	5147
773	17549	5124
774	17570	5101
775	17594	5078
776	17614	5055
777	17635	5032
778	17656	5009
779	17675	4985
780	17695	4962
781	17716	4938
782	17738	4916
783	17759	4892
784	17778	4869
785	17801	4846
786	17819	4822
787	17842	4800
788	17870	4778
789	17903	4759
790	17931	4737
791	17957	4716
792	17976	4692
793	17994	4668
794	18012	4644
795	18036	4622
796	18056	4599
797	18075	4575
798	18094	4552
799	18114	4528
800	18134	4505
801	18154	4482
802	18174	4458
803	18192	4435
804	18211	4411
805	18230	4387
806	18249	4364
807	18272	4342
808	18295	4319
809	18314	4296
810	18333	4272
811	18353	4249
812	18372	4225
813	18396	4203
814	18421	4181
815	18449	4160
816	18468	4136
817	18485	4112
818	18504	4089
819	18520	4065
820	18540	4042
821	18558	4018
822	18576	3995
823	18595	3971
824	18614	3948
825	18634	3925
826	18653	3902
827	18673	3879
828	18691	3855
829	18711	3832
830	18730	3809
831	18750	3786
832	18769	3762
833	18788	3739
834	18806	3716
835	18825	3693
836	18844	3669
837	18862	3646
838	18881	3623
839	18899	3599
840	18917	3576
841	18938	3553
842	18960	3531
843	18979	3507
844	18998	3484
845	19016	3461
846	19037	3438
847	19056	3415
848	19074	3392
849	19093	3369
850	19114	3346
851	19134	3323
852	19154	3300
853	19175	3278
854	19197	3255
855	19221	3233
856	19249	3212
857	19276	3190
858	19299	3167
859	19329	3146
860	19358	3125
861	19378	3102
862	19400	3079
